tweet	label	ID
w ik pn abaradd w o  e  re o O dr o k o mni rere l  e b  l	negative	
Yorb nbyn  y wanle b k bnj ha  eebu Yoruba	negative	
we gb n mlm l  rn n   d lru  w fn wn p k wn  rnm wn Wn k  myan si DGtrends	negative	
RT   asa kasa ti awon eyan ko ni odo awon oyinbo tiko mu ogbon wa koda raraatipe ounse okunfa alebu ati arun	negative	
RT  Mo  r wn b kkan ti wn t wn  fi w e yy  fiwn sl ara l  ta wn wa  n fi w s	negative	
r wo l w lnu bb yb gan n K ni bsanj  w o    Nigeria	negative	
nkan ti bj pt pt pt n Nigeria b bwo ni wn e tn j k DanaAir pad	negative	
Yorb adage for the week dnknrn ej l  j m ej ny Translation The lone movement of a snake exposes it to danger What is this we telling you learnyoruba wisesayings owe mondaywisdom yorubalessons yoruba	negative	
dun r ng n  sn pa ol ti lknj t ju lti fi gnyn onthn y jyn r nu Orisa OkoOya Ohanepo Nigeria	negative	
RT  Bi awon Ologbon ba kuna lati ja fun ipo ninu isakoso IluOgbon omugo ni won o fi dari won  Baba Awolowo	negative	
Emo wolu Iwo ni Ipinle Osun Abdulrasheed Adewale Akanbi ti fe ja si oja e mu so o ki Oba alade ile Yoruba ma so isokuso pe Oluwo ilu Iwo ti di oye itan Akanbi ti yi Oye Oluiwo si Emir ile Yoruba Nje ko kin se aisan opolo lo ya wo aafin Oluiwo ilu iwo bayi	negative	
Sebi agbejoro ni wan pe ologbeni yi se ti oba de ile ejo aruwo PROCESSING ni oma ma pa fun adajo Oro yin su mi o	negative	
ti w b lj t ti p Olgb bb Alfredo Darrington Bowman t wn yn m s Dr Sebi ti il i wd USHA n America e fihn wn onj ik wny Kd rn n s sni lnu  tn buy s i Ntor ow	negative	
Mo kys kan B mo b twt npa e ara wn kan k  gb  wn  ra t brn wn k tl mi m tt a ma kor K s s b a  ti se ebl t k n rn k s b a  ti sr ran Yob t a  y t kr k e  e Yoruba	negative	
Yoruba Operekete ndagba Inu Omo Adamo nbaje A di Baba tan Inu nbi won	negative	
modi  illness dn mj ni modi fi e   she was ill for 2 years InYoruba ReadYoruba WriteYoruba SpeakYoruba	negative	
Alrnk ajljonl n ni   pe ktil idahun Ibeere Yoruba	negative	
Ese k lmd kk twn bi Yinusa fi sb finl wa fy gbgbkugb ara w plapla ta k Nigbatiwonde n n FreeEse	negative	
IDIBO OSUN Awon agbogunro ya wo ile Sinator Bayo Salami ti o hun se asofin Olorunda ni Ile Asofin ni Abuja OsunDecides	negative	
Ede gesi yin gan o gbadun Ewo ni right write ni sir Eti fi owo awan obi yin Jona	negative	
