ID	tweet	label
kr_train_00001	Hhhhhh ntabyihogoza ubu x abo yishe bangana ik	negative
kr_train_00002	Amahano Ni impanuka inkangu inzara Muyite izina rikwiye	negative
kr_train_00003	Ese umuntu aguhaye miliyoni 7 zidorali ngo aryamane numugore wawe cg umukunzi wawe wabyemera	negative
kr_train_00004	Ugira amagambo kandi Ubwo wasanga nawe byagutabara Jya uvuga uziga	negative
kr_train_00005	Ukuntu inama zose zikomeye zirikubera Mu Rwanda ubanza numusi wimperuka uzabera kigali	negative
kr_train_00006	Very sad Umwana wUkwezi 1 koko Nyamara izi nyagabirama ziba zifite uburwayi bwo mumutwe Ntamuntu muzima wakora aya mahano	negative
kr_train_00007	Azajya kwiga aho babyemera muvandi  Ntawamuzanye ku gahato natubahiriza amabwiriza azajya ahandi leta yashyizeho amashuri menshi	negative
kr_train_00008	Ariko igitsina gore mukurahe imbaraga zituma murira iyo hapfuye umuntu muziranye	negative
kr_train_00009	Iminsi yo yimurekere iramubona Bitinde bitebuke izamufatanya nisi bimukarange	negative
kr_train_00010	Ntabwo abeshya ahubwo ararembye Kuko imikorere nimivugire ye igaragaza uburwayi bufite ikigero cyamujyana i Ndera kwiberayo Ubuzima bwe bwose	negative
kr_train_00011	Mf iziko yasibye EP ya  kuri YouTube nizibeshye go ikadagire muri kkblock seriously Rwanda	negative
kr_train_00012	Ni akazi kawe nubunywa ugatwara breathalyzer ikagufata ntuzagire ngo akamaarimaari ntikakuburiye	negative
kr_train_00013	Nkubu  nibiki mudukoreye Koko Ibaze kuba twese dutegereje Ijambo UmukuruW agiye kugeza kubanyagihugu Tukabona umuriro ngo baaa	negative
kr_train_00014	Ubaye urumukobwa ufite million 7 munzu umujura akinjira akagusaba ko mwakora sex Cg gutwara ayo amafaranga wahitamo iki	negative
kr_train_00015	Bakwirwe imishwaro abicanyi bihishe mu Bufaransa nahandi Ibigarasha namwe mubakurikire mudakoza ibirenge hasi	negative
kr_train_00016	Birababaza kuba wa muntu wa nyuma ubwira ibyawe umukeneyeho ko aguhumuriza nabyo ukabibura	negative
kr_train_00017	Uyu mukobwa ari kuvuga ngo mubwire niba naramuciye inyuma kuri diane ntabwo azi ko ibyisi aramabanga	negative
kr_train_00018	nta hene ikura ngo ibe inka	negative
kr_train_00019	Wibukeko iyo umubyeyi atagira isoni zibyo akorera kukarubanda numwanawe ntabwo yamubuza kwiyandarika Abaruwanyina nyine	negative
kr_train_00020	Kubona aba followers hano bigoye kurusha uko wabona imbwa y umutuku cg amahoro muri rayon sport	negative
kr_train_00021	Iyo nama ugiriye Basile nta kuntu wabanza kuyubahiriza nawe ubwawe Ukagerageza kumva ibyo avuze ibyo udashaka kumva Mwirirwe	negative
kr_train_00022	Mu batanteye agahinda ni bariya Iyo umuntu ahisemo nabi arangiza nabi nyine	negative
kr_train_00023	Uriya mukobwa  ikibazo afite gikomeye cyane ni igwingira ryo mu mutwe	negative
kr_train_00024	Kugenda namaguruse bobakaba bajyana nimodoka aho bagiye hose batitaye kubwurwo rugendo ukorungana urumva mwahurirahe	negative
kr_train_00025	Nteye akajisho kurukiko rwubujurire muri comments hariyo abantu wagirango ni abahano kumihanda  gusa Taifa na Karenzi ngo bazakora ejo	negative
kr_train_00026	Nimyaka yose umaze waranze kubikora	negative
kr_train_00027	Cyakoza abakire mubaho neza ibaze abantu bagire ubute bwo kujya kunnya hanze bakannya munzu  murakaze ntimumputaze nihitiraga	negative
kr_train_00028	Nawe yabuze icyo yimarira ahitamo kwangara wumva hari undi yagira icyo America kweli Wapi	negative
kr_train_00029	Narumiwe ubwo umaze kurya milliards zingahe	negative
kr_train_00030	Umuyobozi nshaka rapport yabapfakazi mu kagari uyobora Kanyana abapfa mukagari nyobora ni 20	negative
kr_train_00031	Ubwo c woe UMUNTU uryama nta musego akamara umwaka wose ijosi ari rizima urumva aba yoroshye mn	negative
kr_train_00032	Sinkuza umusatsi ndetse mu mutwe mu mutwe niho bipfira nigga si kumutwe Batazagirango       Nyamirambo	negative
kr_train_00033	Ukumva Girlfriend arakubwiye ngo niwohereza ushyireho ayo gukata Dear ladies mutubabarire kbx	negative
kr_train_00034	Nubwo Imana igira inzira zirenze 1000 iyo ntayirimo	negative
kr_train_00035	Uko Imana igenda itinda mbona izacyura ubusa	negative
kr_train_00036	Arko buriya abantu 3 babyutse bakora unfollow niki babyutse banywa  Ego baba	negative
kr_train_00037	Mbateze iminsi ye urabeshyera ubusa mwe muzareke gupfa ibindi byo nzababona	negative
kr_train_00038	Nyuma yo kunkwera mu gisimenti yibagiwe password	negative
kr_train_00039	Ese niki giha uburenganzira  gukura amafaranga kuri konti yumuntu uko bishakiye igihe bashakiye RwOT	negative
kr_train_00040	Ibitagira abakuru birumba ari indaru indaro ariko kandi igihugu kiramutse kidafite abato bacyo cyakwizera kurimbuka vuba bidashidikanywaho	negative
kr_train_00041	Bati gahunda ni gukemura ikibazo cyubushomeri mu rubyiruko Ese Ubushomeri buri mu rubyiruko gusa cg hari nabakuze babuze imirimo	negative
kr_train_00042	Aha ntacyo yabona yirangayeho	negative
kr_train_00043	Ese nk abantu bareba tweet yawe ntibanaguhe like  Ibu Ari amafaranga ibatse yo bayaguha	negative
kr_train_00044	Chry yayanyatse ngo ntayasesagura ngo ubwo ntangiye kuyarata ngo yagiye	negative
kr_train_00045	Uravuze ngo ibya kovidi kubyumva bisaba kwitandukanya nubwenge	negative
kr_train_00046	Niba unyanga uriguta umwanyakereka amafaranga anyanzeahhooo naborogaaaaaa	negative
kr_train_00047	Erega nawe twamufashe nabi cyane tumushyira inyuma ya ferabeto	negative
kr_train_00048	Yego nkufata uko utari kbs kuko nkufata nk Umukobwa	negative
