дария	river
amazi	water
cu	cloud
igicu	cloud
asazi	fly
kugura	buy
Wikipediya	Wikipedia
Kwambere	Monday
Kwakabiri	Tuesday
Kwagatatu	Wednesday
Kwakane	Thursday
Kwagatanu	Friday
Kwagatandatu	Saturday
Kwamungu	Sunday
Icyongereza	English
umutaka	umbrella
isutiye	brassiere
mudasobwa	computer
ubuki	honey
ijipo	shirt
ifromaje	cheese
amavuta	butter
ichyuma	iron
ubutare	iron
ikinyugunyugu	butterfly
umushwara	handkerchief
mukaso	stepmother
ifu	flour
ikote	jacket
ikizibaho	blouse
fulari	shawl
itsembabwoko	genocide
ikote	overcoat
Ubudagi	Germany
Kwakabiri	Tuesday
soma	read
kwakabiri	Tuesday
kuwa mbere	Monday
kwagatatu	Wednesday
kwakane	Thursday
kwagatanu	Friday
fi	fish
rimo	job
rimo	work
nsi	day
musasobwa	computer
Mutarama	January
ukwezi kwa mbere	January
aka	year
Gashyantare	February
ukwezi kwa kabiri	February
Werurwe	March
Mata	April
Gicurasi	May
kwagatandatu	Saturday
ikyumweru	Sunday
mwe	one
kyangwa	either
kyangwa	or
shinga	verb
tabo	book
jangwe	cat
ntu	affair
ntu	article
ntu	business
ntu	case
ntu	issue
ntu	item
ntu	matter
ntu	object
ntu	question
ntu	something
ntu	stuff
ntu	subject
ntu	thing
ikirayi	potato
ikirayi	spud
ezi	month
zi	water
tuku	red
hondo	xanthic
hondo	yellow
zovu	elephant
vuna	accommodate
vuna	advance
vuna	aid
vuna	assist
vuna	attend to
vuna	avail
vuna	benefit
vuna	help
vuna	support
rabo	bloom
rabo	blossom
rabo	flower
zoka	serpent
zoka	snake
tatu	three
nta	sans
nta	without
ezi	Luna
ezi	moon
ezi	satellite
ezi	Moon
to	little
to	small
renge	foot
renge	paw
saha	hour
saha	o’clock
saha	time
irabura	black
bare	cipher
bare	digit
bare	figure
bare	numeral
furere	brother
furere	friar
jisho	eye
jisho	glyph
Ubufaransa	France
mwaramutse	good afternoon
mwaramutse	good day
mwaramutse	good morning
mwaramutse	hello
mwiriwe	good afternoon
mwiriwe	good day
mwiriwe	good morning
mwiriwe	hello
sa	nought
sa	zero
kora	labour
kora	work
yego	aye
yego	yeah
yego	yep
yego	yes
zoga	beer
zoga	coffin
oya	nay
oya	neither
oya	no
oya	nope
oya	not
shuti	fellow-thinker
shuti	friend
shuti	mate
Danemarke	Denmark
nshi	a lot
nshi	commonly
nshi	frequently
nshi	greatly
nshi	much
nshi	often
nshi	oftentimes
nshi	regularly
nshi	substantially
nshi	vastly
tama	sheep
ganza	hand
humyo	mushroom
humyo	toadstool
ti	tree
kobwa	girl
kobwa	daughter
genda	drive
genda	fare
genda	go
genda	ride
genda	travel
genda	wend
kuva	for
kuva	from
kuva	since
zuba	sun
tanga	accord
tanga	administer
tanga	afford
tanga	alight
tanga	allow
tanga	confer
tanga	donate
tanga	emerge
tanga	exit
tanga	give
tanga	go out
tanga	grant
tanga	impart
tanga	leave
tanga	pass
tanga	provide
tanga	quit
tanga	spare
tanga	spend
tanga	switch on
tanga	turn on
tanga	yield
Ubuhindi	India
shaka	be willing to
shaka	want
shaka	wish
nawe	too
Leta Zunze Ubumwe z’Amerika	United States of America
Leta Zunze Ubumwe z’Amerika	United States
yanya	tomato
vuga	say
vuga	state
vuga	tell
sinzira	be asleep
sinzira	sleep
raso	blood
hanga	cranium
hanga	skull
rongorana	know
rongorana	wot
dogobe	ass
dogobe	burro
dogobe	donkey
tunga	own
tunga	possess
tare	lion
he	autumn
he	fall
he	season
genda	absent onself from
genda	depart
genda	discharge
genda	drive away
genda	drive off
genda	fire
genda	fire off
genda	go away
genda	leave
genda	set going
genda	set off
genda	start
genda	start off
genda	start out
genda	absent onself
hinji	babe
hinji	baby
sabuni	soap
papuro	paper
toki	digit
toki	finger
naniro	weariness
naniro	fatigue
mirongo itandatu	sixty
sozi	highlands
sozi	mountain
neke	banana
za	come to happen
juru	heaven
juru	sky
dimu	lemon
kere	strawberry
fu	flour
fu	meal
rira	cry
rira	weep
atsi	grass
atsi	herb
buto	fruit
gati	bread
gati	loaf
iruka	run
aliko	but
hembwa	accrue
hembwa	acquire
hembwa	attract
hembwa	canvass
hembwa	earn
hembwa	enlist
hembwa	enrol
hembwa	gain
hembwa	get
hembwa	obtain
hembwa	profit
hembwa	rally
hembwa	recruit
hembwa	secure
hembwa	win
hembwa	woo
cyane	quite
cyane	very
ta	milk
amenyo	cog
amenyo	prong
amenyo	tooth
curuzi	businessman
curuzi	merchant
curuzi	trader
ririmba	sing
zuru	nose
unyu	salt
sa	alone
sa	only
sa	single
sa	sole
sa	solitary
sa	unaccompanied
pfa	die
pfa	expire
pfa	pass away
ese	is it
ke	few
ke	little
buza	forbid
twe	head
twe	pate
tondo	morning
teka	cook
andika	compose
andika	create
andika	write
seka	laugh
ka	cow
gongo	back
ejo	tomorrow
gwe	leopard
vura	rain
genda	ambulate
genda	march
genda	walk
guru	leg
guru	paw
guru	shank
horo	peace
inkongoro	scavenger
sakuza	bellow
sakuza	bleat
sakuza	bray
sakuza	call
sakuza	call out
sakuza	cry
sakuza	cry out
sakuza	growl
sakuza	moo
sakuza	neigh
sakuza	roar
sakuza	scream
sakuza	shout
sakuza	squeal
sakuza	vociferate
sakuza	whinny
tura	dwell
tura	inhabit
tura	live
tura	reside
tura	stay
nywa	drink
swa	ant
swa	emmet
swa	pismire
ikinga	bicycle
ikinga	bike
Nijeriya	Nigeria
sazi	fly
pfa	drought
pfa	dryness
