,tweet,label
0,"['hhhhhh', 'ntabyihogoza', 'ubu', 'x', 'abo', 'yishe', 'bangana', 'ik']",negative
1,"['amahano', 'ni', 'impanuka', 'inkangu', 'inzara', 'muyite', 'izina', 'rikwiye']",negative
2,"['ese', 'umuntu', 'aguhaye', 'miliyoni', 'zidorali', 'ngo', 'aryamane', 'numugore', 'wawe', 'cg', 'umukunzi', 'wawe', 'wabyemera']",negative
3,"['ugira', 'amagambo', 'kandi', 'ubwo', 'wasanga', 'nawe', 'byagutabara', 'jya', 'uvuga', 'uziga']",negative
4,"['ukuntu', 'inama', 'zose', 'zikomeye', 'zirikubera', 'mu', 'rwanda', 'ubanza', 'numusi', 'wimperuka', 'uzabera', 'kigali']",negative
5,"['very', 'sad', 'umwana', 'wukwezi', 'koko', 'nyamara', 'izi', 'nyagabirama', 'ziba', 'zifite', 'uburwayi', 'bwo', 'mumutwe', 'ntamuntu', 'muzima', 'wakora', 'aya', 'mahano']",negative
6,"['azajya', 'kwiga', 'aho', 'babyemera', 'muvandi', 'ntawamuzanye', 'ku', 'gahato', 'natubahiriza', 'amabwiriza', 'azajya', 'ahandi', 'leta', 'yashyizeho', 'amashuri', 'menshi']",negative
7,"['ariko', 'igitsina', 'gore', 'mukurahe', 'imbaraga', 'zituma', 'murira', 'iyo', 'hapfuye', 'umuntu', 'muziranye']",negative
8,"['iminsi', 'yo', 'yimurekere', 'iramubona', 'bitinde', 'bitebuke', 'izamufatanya', 'nisi', 'bimukarange']",negative
9,"['ntabwo', 'abeshya', 'ahubwo', 'ararembye', 'kuko', 'imikorere', 'nimivugire', 'ye', 'igaragaza', 'uburwayi', 'bufite', 'ikigero', 'cyamujyana', 'i', 'ndera', 'kwiberayo', 'ubuzima', 'bwe', 'bwose']",negative
10,"['mf', 'iziko', 'yasibye', 'ep', 'ya', 'kuri', 'youtube', 'nizibeshye', 'go', 'ikadagire', 'muri', 'kkblock', 'seriously', 'rwanda']",negative
11,"['ni', 'akazi', 'kawe', 'nubunywa', 'ugatwara', 'breathalyzer', 'ikagufata', 'ntuzagire', 'ngo', 'akamaarimaari', 'ntikakuburiye']",negative
12,"['nkubu', 'nibiki', 'mudukoreye', 'koko', 'ibaze', 'kuba', 'twese', 'dutegereje', 'ijambo', 'umukuruw', 'agiye', 'kugeza', 'kubanyagihugu', 'tukabona', 'umuriro', 'ngo', 'baaa']",negative
13,"['ubaye', 'urumukobwa', 'ufite', 'million', 'munzu', 'umujura', 'akinjira', 'akagusaba', 'ko', 'mwakora', 'sex', 'cg', 'gutwara', 'ayo', 'amafaranga', 'wahitamo', 'iki']",negative
14,"['bakwirwe', 'imishwaro', 'abicanyi', 'bihishe', 'mu', 'bufaransa', 'nahandi', 'ibigarasha', 'namwe', 'mubakurikire', 'mudakoza', 'ibirenge', 'hasi']",negative
15,"['birababaza', 'kuba', 'wa', 'muntu', 'wa', 'nyuma', 'ubwira', 'ibyawe', 'umukeneyeho', 'ko', 'aguhumuriza', 'nabyo', 'ukabibura']",negative
16,"['uyu', 'mukobwa', 'ari', 'kuvuga', 'ngo', 'mubwire', 'niba', 'naramuciye', 'inyuma', 'kuri', 'diane', 'ntabwo', 'azi', 'ko', 'ibyisi', 'aramabanga']",negative
17,"['nta', 'hene', 'ikura', 'ngo', 'ibe', 'inka']",negative
18,"['wibukeko', 'iyo', 'umubyeyi', 'atagira', 'isoni', 'zibyo', 'akorera', 'kukarubanda', 'numwanawe', 'ntabwo', 'yamubuza', 'kwiyandarika', 'abaruwanyina', 'nyine']",negative
19,"['kubona', 'aba', 'followers', 'hano', 'bigoye', 'kurusha', 'uko', 'wabona', 'imbwa', 'y', 'umutuku', 'cg', 'amahoro', 'muri', 'rayon', 'sport']",negative
20,"['iyo', 'nama', 'ugiriye', 'basile', 'nta', 'kuntu', 'wabanza', 'kuyubahiriza', 'nawe', 'ubwawe', 'ukagerageza', 'kumva', 'ibyo', 'avuze', 'ibyo', 'udashaka', 'kumva', 'mwirirwe']",negative
21,"['mu', 'batanteye', 'agahinda', 'ni', 'bariya', 'iyo', 'umuntu', 'ahisemo', 'nabi', 'arangiza', 'nabi', 'nyine']",negative
22,"['uriya', 'mukobwa', 'ikibazo', 'afite', 'gikomeye', 'cyane', 'ni', 'igwingira', 'ryo', 'mu', 'mutwe']",negative
23,"['kugenda', 'namaguruse', 'bobakaba', 'bajyana', 'nimodoka', 'aho', 'bagiye', 'hose', 'batitaye', 'kubwurwo', 'rugendo', 'ukorungana', 'urumva', 'mwahurirahe']",negative
24,"['nteye', 'akajisho', 'kurukiko', 'rwubujurire', 'muri', 'comments', 'hariyo', 'abantu', 'wagirango', 'ni', 'abahano', 'kumihanda', 'gusa', 'taifa', 'na', 'karenzi', 'ngo', 'bazakora', 'ejo']",negative
25,"['nimyaka', 'yose', 'umaze', 'waranze', 'kubikora']",negative
26,"['cyakoza', 'abakire', 'mubaho', 'neza', 'ibaze', 'abantu', 'bagire', 'ubute', 'bwo', 'kujya', 'kunnya', 'hanze', 'bakannya', 'munzu', 'murakaze', 'ntimumputaze', 'nihitiraga']",negative
