tweet	label	ID
kako be shark but wo ti ewu	negative	
br ne bayie nti na me supporti man city	negative	
s3 woofis3 mada wafutuo tantan no 3y3wo s3mafa dabiaa mekaewos3 menny3 celebrity s3 wodidimat3ma menso m3yeya wo nana	negative	
wabdam anaa wo trumu y nkate nkwan ase	negative	
enfa bi da bra	negative	
messi saf den check en bp na wo kwame danso wo di twe da kor aaa na wawu	negative	
gyae gyae na menk bi da	negative	
ah na wiegyimi anaaa	negative	
3nea wani ny3 wosuro a bo wo team din wo team ne papa mu nono	negative	
na steph curry no wegyimi anaa	negative	
1 minute biaaa na broken heart nam mu	negative	
saaaa na we wu	negative	
owura na yesu de3 anka bet fa woho b3n	negative	
me bo efu paa	negative	
wo ny papa wo	negative	
de gea 1 1 odwan	negative	
nyame btua npp ka eii	negative	
lionel messi papa team ben wab da	negative	
eiii na rydee na broken heart yi	negative	
wode s wano checki hw	negative	
aaaaahhhhhh so ashaiman afariwa be the gulf city no herrrrr nyankopon b3 tua mo ka paaaaaa branding b3n nie	negative	
but agradaa ankasa ne trim b3y3 den oo hw human fi fake so	negative	
masa wo boa koraaa	negative	
mbelesem dem aaaaa na new year ababankye	negative	
blacko gyai gyimii no cos u belong to god not karishika	negative	
twitter for likes and retweets mu agyimi saa ama mi ka kyere adui kraaa ngyi di ahiafo ni adwentsr di	negative	
3ka aba fie  sika no ahye	negative	
kyerese heaven mpo bo wo ewiese eehu o	negative	
otan hunu ara kwa	negative	
asem b3ba da bi	negative	
trumu tanka nti you are crushing  ei alhaji	negative	
obi nse kofi taylor s3 ne gyimie nu 3ka s3n	negative	
nyame b3tua wonso kasia to	negative	
krom ay hye too much y tumi bisa ambulance kraa lift	negative	
alatafo mma br3 o piii atwa mu 40 mpena koraa omo nni bi oman ben nni kanea aaa yaamutu odo nso yaamutu	negative	
asw3 wagyimie oooo eeiiii mey3m mpo ashi me s3naa ebi didi bi akyi eeiii kweku picaso	negative	
wo y3 nipa b3n	negative	
