tweet,label
       Hhhhhh ntabyihogoza ubu x abo yishe bangana ik,negative
 Amahano Ni impanuka inkangu inzara Muyite izina rikwiye,negative
Ese umuntu aguhaye miliyoni 7 zidorali ngo aryamane numugore wawe cg umukunzi wawe wabyemera,negative
Ugira amagambo kandi Ubwo wasanga nawe byagutabara Jya uvuga uziga httpstco9OWOZxquFO,negative
Ukuntu inama zose zikomeye zirikubera Mu Rwanda ubanza numusi wimperuka uzabera kigali ,negative
Very sad Umwana wUkwezi 1 koko Nyamara izi nyagabirama ziba zifite uburwayi bwo mumutwe Ntamuntu muzima wakora aya mahano httpstco66O0C066PX,negative
      Azajya kwiga aho babyemera muvandi  Ntawamuzanye ku gahato natubahiriza amabwiriza azajya ahandi leta yashyizeho amashuri menshi,negative
Ariko igitsina gore mukurahe imbaraga zituma murira iyo hapfuye umuntu muziranye,negative
Iminsi yo yimurekere iramubona Bitinde bitebuke izamufatanya nisi bimukarange httpstcosUuZdtfSgF,negative
          Ntabwo abeshya ahubwo ararembye Kuko imikorere nimivugire ye igaragaza uburwayi bufite ikigero cyamujyana i Ndera kwiberayo Ubuzima bwe bwose,negative
Mf iziko yasibye EP ya  kuri YouTube nizibeshye go ikadagire muri kkblock seriously Rwanda,negative
 Ni akazi kawe nubunywa ugatwara breathalyzer ikagufata ntuzagire ngo akamaarimaari ntikakuburiye,negative
Nkubu  nibiki mudukoreye Koko Ibaze kuba twese dutegereje Ijambo UmukuruW agiye kugeza kubanyagihugu Tukabona umuriro ngo baaa ,negative
Ubaye urumukobwa ufite million 7 munzu umujura akinjira akagusaba ko mwakora sex Cg gutwara ayo amafaranga wahitamo iki,negative
Bakwirwe imishwaro abicanyi bihishe mu Bufaransa nahandi Ibigarasha namwe mubakurikire mudakoza ibirenge hasi httpstco54T1PaNBRO,negative
 Birababaza kuba wa muntu wa nyuma ubwira ibyawe umukeneyeho ko aguhumuriza nabyo ukabibura,negative
Uyu mukobwa ari kuvuga ngo mubwire niba naramuciye inyuma kuri diane ntabwo azi ko ibyisi aramabanga ,negative
 nta hene ikura ngo ibe inka,negative
   Wibukeko iyo umubyeyi atagira isoni zibyo akorera kukarubanda numwanawe ntabwo yamubuza kwiyandarika Abaruwanyina nyine,negative
Kubona aba followers hano bigoye kurusha uko wabona imbwa y umutuku cg amahoro muri rayon sport httpstcoSkaB4BrxvZ,negative
            Iyo nama ugiriye Basile nta kuntu wabanza kuyubahiriza nawe ubwawe Ukagerageza kumva ibyo avuze ibyo udashaka kumva Mwirirwe,negative
Mu batanteye agahinda ni bariya Iyo umuntu ahisemo nabi arangiza nabi nyine httpstcooVmg4tIz2h,negative
   Uriya mukobwa  ikibazo afite gikomeye cyane ni igwingira ryo mu mutwe,negative
 Kugenda namaguruse bobakaba bajyana nimodoka aho bagiye hose batitaye kubwurwo rugendo ukorungana urumva mwahurirahe,negative
Nteye akajisho kurukiko rwubujurire muri comments hariyo abantu wagirango ni abahano kumihanda  gusa Taifa na Karenzi ngo bazakora ejo httpstcoKF7jTDnivb,negative
Nimyaka yose umaze waranze kubikora httpstcoAhlFS5DMx9,negative
Cyakoza abakire mubaho neza ibaze abantu bagire ubute bwo kujya kunnya hanze bakannya munzu  murakaze ntimumputaze nihitiraga,negative
Nawe yabuze icyo yimarira ahitamo kwangara wumva hari undi yagira icyo America kweli Wapi httpstcowOOqswdZtQ,negative
 Narumiwe ubwo umaze kurya milliards zingahe,negative
 Umuyobozi nshaka rapport yabapfakazi mu kagari uyobora Kanyana abapfa mukagari nyobora ni 20,negative
 Ubwo c woe UMUNTU uryama nta musego akamara umwaka wose ijosi ari rizima urumva aba yoroshye mn,negative
Sinkuza umusatsi ndetse mu mutwe mu mutwe niho bipfira nigga si kumutwe Batazagirango       Nyamirambo httpstcoh4MC1cYRIy,negative
Ukumva Girlfriend arakubwiye ngo niwohereza ushyireho ayo gukata Dear ladies mutubabarire kbx httpstco2jFcxjU3G6,negative
 Nubwo Imana igira inzira zirenze 1000 iyo ntayirimo,negative
Uko Imana igenda itinda mbona izacyura ubusa     ,negative
Arko buriya abantu 3 babyutse bakora unfollow niki babyutse banywa  Ego baba ,negative
 Mbateze iminsi ye urabeshyera ubusa mwe muzareke gupfa ibindi byo nzababona,negative
Nyuma yo kunkwera mu gisimenti yibagiwe password  httpstco6Z0KoRUSvK,negative
Ese niki giha uburenganzira  gukura amafaranga kuri konti yumuntu uko bishakiye igihe bashakiye RwOT,negative
  Ibitagira abakuru birumba ari indaru indaro ariko kandi igihugu kiramutse kidafite abato bacyo cyakwizera kurimbuka vuba bidashidikanywaho,negative
Bati gahunda ni gukemura ikibazo cyubushomeri mu rubyiruko Ese Ubushomeri buri mu rubyiruko gusa cg hari nabakuze babuze imirimo     ,negative
 Aha ntacyo yabona yirangayeho,negative
Ese nk abantu bareba tweet yawe ntibanaguhe like  Ibu Ari amafaranga ibatse yo bayaguha,negative
  Chry yayanyatse ngo ntayasesagura ngo ubwo ntangiye kuyarata ngo yagiye,negative
 Uravuze ngo ibya kovidi kubyumva bisaba kwitandukanya nubwenge,negative
Niba unyanga uriguta umwanyakereka amafaranga anyanzeahhooo naborogaaaaaa,negative
 Erega nawe twamufashe nabi cyane tumushyira inyuma ya ferabeto,negative
 Yego nkufata uko utari kbs kuko nkufata nk Umukobwa,negative
 Iki nicyo gituma mwitwa Gahuza Miryango  Cg nibwo budasa bwa BBC  Mukomeje gusenya benshi aho kubahuza intego yarahindutse murananiwe ,negative
 Komperuka ariho wavukiye se ababyeyi bawe banze kwishyura imisoro ngo babazanire ibikorwa remezo ,negative
 Wa nkozi y ibibi we Umwanzi w Imana,negative
Ariko Narumiwe koko ubonye Avi yange uhita umpa  umaze kumenya ko ari ngewe uhita umanura Ndumiwe koko,negative
 Bisanzwe bizwi nubundi Ko FERWAFA ikora nabi wagira ngoyo na REB biba biri kurushanwa,negative
 Sinatereta umukobwa utazi gutandukanya gutandukanya ibihekane nt na nd,negative
 Kwirarira ni bibi man,negative
Mivow by 28views ariko still gahunda ni NTAKUDOHOKA Views ni ubusa shaaaa         ,negative
  Harimo ubugome bukabije Ni uko utabonye igiti ajya azirikiraho abantu nakibonye muri tweet ya  ndumirwa,negative
NegG arahacanye Haraka Pfla yarankanze Mpita MutinyaNkubise Misire hasi kandi ntacyo bari buntware REBA HANO IKIGANIRO CYOSE httpstcoNb9YASVklx,negative
Abanyarwanda bataye umuco wo kutareba ibitabareba none basigaye batekereza nibitabareba Ahaaaaa ,negative
 Yarangiza ngo ni Mutimucyeye apuuuu,negative
 Simbonax arihamwe mugikari cyabo  ahubwo ayo maso yae agenda areba hejuru ,negative
 ariko ngo ntakintu kiryoha nka morning sex aba bikoze badusangize kur experience ,negative
 Ni nko guterwa nimbeba ugacirira urukwavu ngo ruzikwirukanire mu nzu,negative
  Nonex nawe uradutengushye ,negative
    Cyaze kabisa abasenzi barakubeshya ugashiduka shwiii bagukozemo akazi ako ubu narabamenye,negative
Les jurons que jai encaiss last night  Iyo ibitutsi biba byica mba napfuye nkazuka nkongera ngapfa ,negative
    Arkox inkoko izsrwana ninkoko nimurangiza muvugengo iyo nkoko irarenze mwage mureka kureba hafi koko mukareba kure,negative
  Umuvandimwe aho bukera araza kurwara akadege,negative
 Nawe ba umwiyahuzi ntacyo,negative
  Muge mureka kuvuga ubusa nyirubwite yivugiye uburyo abana be bize woe ubivuguruza uri nkande Ibinyoma nibyo muzi gusa,negative
    Nonese nimba amazi amaze ibyumweru 2 ataza ubu koko ayo koga yavahe,negative
Ark abakobwa bakunda cash narindikumwe na chr ikijyama kimukubita aka message ka MOMO none ahise ambazango nitwande sha,negative
      Uwo musaza ra ko numva uwamwegereza abafeminists bamukurugutura,negative
     Kubera kureba cyne ibibazo byisi ijisho ryaracuramye ndaq,negative
 Mwaramutse neza Mudufashe ko turimo gukatwa amafaranga igihe nkuye amafaranga kuri Momo nyashyira kuri konte bimeze bite ko bidasobanutse,negative
Harigihe wibwira ko uri gutwika nyamara uri gushiririza ,negative
  My a good fool advice buy harlotindaya nisawa izaguha byose umugera na sida,negative
Gusondeka mumyubakire ya wassac mugihe cyumunsi umwe kko httpstcomDJKBBHHrE,negative
   Biracyenewe Cyane Ko Hagira Igikorwa kugihombo Dukomeza guterwa nimikorere idahwitse ya  birakabije kubera iki Ntacyo mubikoraho httpstcoE6su1OFCfr,negative
Mbyutse numva umunwa uri kurya mwa bantu mwe ndumva nawukwedurira kubantu,negative
 man uzi ko naringiye kumwitexa mwohereza imitomo ama sms kumbi nuko narinshonje gusa,negative
 Ahaa hari abantu iyo batabanje kwifata ku gahanga batandika Ngo baba bashaka guha umuntu ibye Tugire tuti SIGAHO,negative
   arazireba gusa ni umukunzi wa messi i mean nikimwe nkabandi bazi ko the world revolves around messi,negative
Youtubers content noneho  namenya ibyo ababahungu bamukoreye arava mu iyangaza makuru  httpstcoN6X3zyPl9f,negative
Cyakoza harinabantu badakunda bagenzi bababo Reba ukuntu uyumushinwa akubita umunyarwanda mugenziwe areba RUKARA yari intwari peee httpstcoEr1phVl8EU,negative
 Njyewe yamfashije kwica gahunda yo kwiga,negative
 wa mugabo yatugarutsemo ndaq httpstcoCP4p1tgGkP,negative
Sukwirata pe gusa iyo bampamagaje Android nkavugira kuri phone umwanya munini bintera allergie zo kunuka mukwaha  httpstcodhHzZNE3ya,negative
Ninshingano zUmugabo kugaburira no gutanga umugorewe kubera ko ubwo umugore aheruka kugaburira umugabo twahise twirukanwa muri edeni           ,negative
 Ni ukuri Ikirunga cya Nyiragongo kiri kuruka,negative
 Nahita niha akazi mu kigo runaka ariko gikaze kajyanye na carrier ngahita negura Ibaze urwego rwubushomeri ndiho,negative
  Yigize igisambo ku ngufu kand izo yibye zigira likes 3 gusa,negative
Ari ukuhira igiti m mvura n kwinyarira m mvura ubusazi cyane n ubuhe Ur opinions plz,negative
Ese kubera iki wumva wakwishimira kurya ibitaribyawe nkaho nyirabyo atakiriho nabe bose bashizeho pole MURINDAHABI IRENE,negative
  Hari igihe uzarara hanze uziko ari za blagues,negative
   Ni ikibazo  mu kiganiro twaherutse kugirana batubwiye ko ibi byose bigenzurwa Abatabyubahiriza bigenda bite Aba bantu bitabweho pe ,negative
Umwana wumushi niviriye mugihano twitter yari yampaye kubera ubuhone none nje mbona umusore wigikuri all over  nibikibijya mbere   ,negative
Mfite ubwoba ko murugo nihafatwa ninkongi yumuriro Nka vugango murugo harahiye  Abantu bazansubiza ngo Hadashya se ,negative
        Ni igitekerezo namuhaga man  cga atangire anywa amazi ya battery,negative
Nuwuhe mu mukobwa wahano mubona ushaje tumurangire umugabo Kandi wumukire utazi gutereta wumve ngo mfite sure deal  irenze,negative
