ID	tweet	label
or_test_00001	Obbo shimallis ummanni keenya kan Wolloo dhumaa jira jiilleetti woraanni Liyyuuhaylii itti dhukaasaa jedhan  Birmadhuuf birmadhuuf birmadhuufi	neutral
or_test_00002	Kanuma dubbiinGuyyaatti YouTube altokkollee taatu kan hin seenin oolu hin jiru Inumaa amma kan ormaa irra cuqaasnee jajjabeessinu kan keenya guyyuun YouTube isaanii irraa cuqaasuun jajjabeessuun dirqama lammummaa nurra jirudha Kun waan amantaan Walqabaullee miti	negative
or_test_00003	Kan Ofbeekukan waan isaa Beekudabree waan Alagaa Beekutu Mirga ifiitiif Wareegama	positive
or_test_00004	Gafa Abyii aangoo qabatee jalqabee deemsii isaa faallaa qabsoo Oromoo tauu isaa dursee kan xinxalee Oromoo dammaqsaa kan ture DrTsgayee dhaYeroos Jawwar Abyii wajjiin Sirbaa kursii jalattii qabnaaqawwee miti Qabattoo nihikanaf jedhe qabsoo Oromoo bitineessa turee URL	negative
or_test_00005	Sabni keenya akkuma tokkummaan kaee safaricom jilbiifachiise tokkummaan WBO cinaa dhaabbatee bilisummaa isaa mirkaneeffachuudhaan badii irraa ofoolchuu qaba Sooreyyii alagaa kan diina Oromoo taan hunda akkuma safaricom jilbiifachiisuu qaba OromoVoice AidForOromia	positive
or_test_00006	Seena saboota mohate bilisa bahe hunda ilali Oromo Kanbilisa bahan tokummaan kutannon diina sani dura eja dhabbatanif Oromion bara 150 wanti keessa darbe rakkoo akka itit fidu nibeekkama Kana irra darbe tokummaasa cimse mohee bilisa bahu dandahu qaba aka saba guddatti	positive
or_test_00007	Kun Giddu Gala Oromiyaa Naannawa Finfinneetti Oromoo WBO qarqaarun Mirga Qofa Otoo hin taane Dirqama Afaan Qawweetin Cabnee Afaan Qawweetin Bilisoomnaa WBO jabeessaa URL	negative
or_test_00008	Sirni gabroomfataa impaayera Xoobiyaa Oromoo gabroomsu fi ajjeesu malee hin jiraatu Sirni kun Oromoo hidhannoo malee harka duwwaa godheet nurra ture WBOn aadaa Oromoo hiikkachiisuu kana harkatti cabse WBO hidhachiisuudhaan bilisummaa saba Oromootiif gumaachi	negative
or_test_00009	Waggaa tokkoo fi walakkaa darbee keessatti walitti buiinsii Itiyoophiyaa gama kaabaa keessatti gaggeeffame rakkoo dhala namaa qofa otoo hin taanee badii garmalee geesisee jechuunUSAIDf bulchituu kan taan Samaantaa Paawar ibsanii jiru Ethiopia droughtURL	negative
or_test_00010	Cibraan Soddom Booroo Godina Gujii Bahaa Aanaa Liiban Ganda Simmintootti diina Akaawa jiraaKaayomsi Waaqa	negative
or_test_00011	JawarMohammed turtii waggaa lamaatiin booda yeroo duraatiif waan jajjabduu dubbate URL	neutral
or_test_00012	Minilik Oromiyaa gara Xoopiyaatti erga jijjiiree Oromoon dhiigaa fannifamaa qalamaa hidhamaa ariatamaa salpachaa fi beelaaa jira Oromiyaa diina harkaa baafnu malee rakkoon Oromoo ittuma fufa Kanaaf WBO jabeessuun dirqama URL OromoIsStarving	negative
or_test_00013	Minilik Oromiyaa gara Xoopiyaatti erga jijjiiree Oromoon dhiigaa fannifamaa qalamaa hidhamaa ariatamaa salpachaa fi beelaaa jira Oromiyaa diina harkaa baafnu malee rakkoon Oromoo ittuma fufa Kanaaf WBO jabeessuun dirqama URL OromoIsStarving	negative
or_test_00014	Sabni humna ittisaa hin qabne weerara diinaa ofirraa qolachuu hin dandau Weeraraa fi waraanaa diinaa Oromoo irraa qolachuuf WBO jabeessuun dirqama Beekkomsa maallaqaa fi dandeettii keessan hundaan WBO bira dhaabbadhaa WBO jabeessaa OromoVoice StopOromoGenocide	negative
or_test_00015	Allaattiin kun maaliif dhagaa caccabaa soorata  URL URL	neutral
or_test_00016	Sirni nafxanyaa Oromummaa baleessee biyya abbaa keenya dhuunfachuuf afaan Oromoo aadaa fi seenaa Oromoo balleessuudhaani Sirni kun waggoota arfan dabran Abiyin hoogganamee badii guddaa Oromoorra geesseera Safaricom kanuma hojirra oolchaa jira Dinne OromoVoice AidForOromia	negative
or_test_00017	Sooreyyiin alagaa Oromiyaa saamanii qabeenyuma Oromootiin Oromoo ajjeessanajjeesiisan Sabni Oromoo akkuma safaricom sagalee tokkoon adabe sooreyyii alagaa kan Oromoo diinomfatan hunda jilbiiffachiisuun Oromummaa fi Oromiyaa kabajchiisuu qaba OromoVoice AidForOromia	negative
or_test_00018	Oromon waliif birmate ganfa Afrika qallabu dandaha Hatau male amma ofiifu beelae harka nama aka ilaalu ijoolensaa aka dhumtu taa jira Kunimo motummaa Abiy seenannis seeranis issa gafachisa HungerInOromia	negative
or_test_00019	Oromoon Tokko Waliin gabroome tokkummaan qabsaayee bilisa baha WBO cinaa dhaabbachuun mallattoo tokkummaa fi dirqama Oromummaati IUOF OromoLiberationArmy WeStandWithOLA	neutral
or_test_00020	Lolli Fantaallee irraati baname Hara Guyyaa 6eessoo qabateralolichi itti FuferaaHumni Diina Ammaa dabalatan minjaar irraa feamuutti jira Uummanni krenya duguugamaa jira	negative
or_test_00021	Qurxumicha fi galaanicha akkasitti gaafa argitu caalaa maaltu diina bobeessaLIKE SHARE godha ibidda itti shidaa URL	negative
or_test_00022	Ummanni Oromoo WBO gargaaruu qofa otoo hin taane akka dhalanamaatti kabajamuuf lafa jiraatu maratti ofumasaa WBO tauun dirqama filannoo hin qabneedha Yaa Oromoo kai Hidhadhu Walhidhachiisi WBO tai IUOF OromoVoice OromoIsStarving	negative
or_test_00023	Wallaggi alagaa qubsiisee keessummeessee nyaachiseeobaasee galata dhabee iti duulamaa jira Harka Oromoorraa nyaatanii Oromoo ciniinaati jiru Qorichi isaa biyya abbaa keenyaa bilisoomsuu qofa Kana mirkaneessuuf WBO cinaa haa dhaabbanu IUOF OromoVoice OromoIsStarving	neutral
or_test_00024	Nama duee duaa kae rabbi qofaa kkkkkkkkkkkk safuu	negative
or_test_00025	Afaanichi itti jiru dachaadhaan kan olkaasu tahuu hubannee Hiikkaa Feesbuukii Afaan Oromootti cimuun barbaachisaa qofa osoo hin taane dirqama dhalootaa akka tahetti hubannee itti mudduu qabnaShare godhaa waliif dabarsaa URL hordofaa	negative
or_test_00026	Beelli amma Oromon itti dhuma jiru motummaa nama nyaata kanaan tae jedhame kan irrati hojetamedha Qotee bulaa ajeesun manasaa gubuun masaasa manchaasun lafasaa irra buqisun beela fiduf yoo hintaane maalifiree Oromoo dammaaqi HungerInOromia	negative
or_test_00027	Wonti godhamu qabuu hundii godhamuu qabaa yeroo ittii kennu hin barbachisu isaa seraa cabse seeran gaafachuu olaantummaa seera kabachiisun dirqama	neutral
or_test_00028	Sodaa Injifatamuu hin qabnuSodaan Keenyaa lolichi dheeratee Impaayerittiin tarree Sooriyaa fi Libiyaa akka hin dhaabbannedhaYeroon dararaa saba keenyarraa akka hin bubbulledhaSoorettii Caalaa	neutral
or_test_00029	Yaa Oromoo Sabni xiiqqaan Tigray akkamitti diina isaa moohate jedhii yaadi Icittiin jiru tokkummaan bilisummaa isaaniif hiriiruu qofa dha Oromoon saba guddaa Afrikaa taee osoo jiruu sabni bicuu fi yartuun maaliif isa bitti  WBO garaagaraa OromoVoice StopOromoGenocide	positive
or_test_00030	WBOn mirga hiree murteeffannaa saba Oromoo mirkaneessuuf mootummaa shororkeessaa Itoophiyaa waliin falmata malee sabaafsablammoota waliin diina miti Sabaafsablammoota mirga ofii kabajchisuuf falmatanillee ni deeggara WBO jabeessaa OromoVoice InvestigateAbiy	negative
or_test_00031	Sabni diina ofirraa hinqolanne baduu dandaa Diinonni keenya waggaa 150 ol ofii hidhatanii Oromoo harka duwwaa hanbisaniiruu Oromoonllee seenaa irraa baratee diina isa balleessuuf hidhatee dhufe hidhannoodhaan ofirraa qolachuun mirga isaati OromoVoice AbiyMustGo	neutral
or_test_00032	Fuuldurri kan warra bareedina abjuu isaaniitti amananiiti Eleenor Ruuzvelt jedhamtu	neutral
or_test_00033	Sabni gabrummaa jala jiru beelaa fi lolaaf saaxilamuun isaa waanuma hin oolle Beelaa fi lola Oromoo irratti adeemaa jiru xumura ittigodhuu kan dandaamu Oromiyaa walaboomsuu fi bilisummaa saba Oromoo mirkaneessuu qofaani WBO cinaa dhaabbadhaa OromoVoice AidForOromia	neutral
or_test_00034	Mootummaan balleesse badaa  fi  sirna duaa fi boodatti hafa wagga dhibba farsuun ajjeechaa sukaneessa ummata Oromo irratti rawwaacha jiruf hundeen buqqauu fi fuldurattis saroota akkasii ofi keessaa basuun dirqamaHumanRightsForOromo OromoVoice	negative
