tweet,label
if i dey enter your eye or you like me and fit talk am time dey go ohreporting live from paris,positive
user user ndi igbo is ara di udi,negative
كاملين بيوكوم عنستفكوم من فوق شواية الا بنكيران هو الفاخر,negative
samia atoa angalizo kuikabili saratani makamu rais samia suluhu hassan amesema tatizo la saratani watanzania linaweza kupungua ama kuondokana nalo endapo kutakuwa tabia,neutral
5 dùnùndún ọjọjọ ____ ẹbà ____ àmàlà ibeere yoruba,neutral
oh lord im a sinner im stuck in my ways im a driller me ne akata fuor baako mienu shia aa y3 shi vanilla girl bedi me for dinner fr3 meleena kora bɔne bi aa me hyia kwan huŋ me 3he nfa ee ,positive
ኩላሊት ጉበት ልብ ሳንባ እና ሌሎችም የሰውነት አካላት ከለጋሾች ሰውነት ከወጡ በኋላ ወደ ታካሚው ገላ እስከሚገቡ ድረስ ያለው ቆይታቸው ጥያቄን ይፈጥርብዎታል በዚህ ፅሁፍ መልሱ,neutral
هل تعلم أن ملكنا صاحب أقوى اصلاحات في العالم العربي بشهادة الغرب والشرق,positive
obrigado igualmente bom dia ,positive
ìdíwọ díẹ wà ní westest kí á tó dé charleboy kòtò títì tí wọn ń dí ló fà á user ,negative
user karyan banza kawaii ,negative
murongore mukiri bato mubyare mugifite imbaraga kurera abana kubateganyiriza hakiri kare ibya gikwe tubireke ,positive
user user user user hello mrs kamaliza ndahiro amakuru yawe mushiki wacuamakuru yiminsi myinshi from paul,positive
የከፍታውን ተረት ወዲያ ትተን ለማይጨበረበር እውነተኛ ምርጫ መዘጋጀትና መተግበር ዝግጁ ሆነን እንደሚገባ ብናከናውን ከፍታ እሱ ነው,positive
also super special to see and hear yoruba abogbo ọmọ rèẹ nínú èjè àti egungun words to remember childrenofbloodandbone,neutral
user koh kunya baya ji amma an kasa ganin shi wajen jana’iza shame wllh,negative
user akwa pu chiri ihe,neutral
ህዝብን የሚያነቁና የዲሞክራሲ ተሳትፎ የሚያሳድጉ የዲሞክራሲ ተቋማት ግንባታና የዲሞክራሲያ ምርጫ ባህል ማዳበር አጋዥ ሥራዎች ቅድሚያ ሊሰጥ ይገባል,positive
user ezege nwa’mama kedu asa bu ifea ,neutral
omo the kind rice n stew with plenty meat dem dey carry pass here for nnewi eh home training gree me order,positive
ìlerí là ń gbọ lójoojúmọ ọjọ ayé gbogbo nǹkan tí a fẹ tó yẹ kí needs ṣe ò tí ì di síṣe wewantthetruth anewnigeria confabng,positive
በስህተት ወደ አካውንታቸው የገባውን አንድ ሚልዮን ብር በቅንነት የመለሱት ግለሰብ- አቶ ደሳለኝ ብስራት ቅንነት እውነትን ለራስ መንገር ሲሆን ታማኝነት ደግሞ ሀቁን ለሌሎች መን,positive
tufiakwa gi abum nwa chineke  ,negative
kofi sika showboy ah swearr,positive
user tear rubber no okrika na me comot the nylon,neutral
rt user user  o see gbere oodua a gbe e ori e a kanke o araye fowo tii,positive
user anayi muna jin dadi godiya 1000,positive
hhhh lah yster mn zinha yla gelsat fedar hhhh aussi aussi 3ellah soon,neutral
shofi hada galik pasport maghribi ma3ando 9ima ,negative
birthday blessings to you user onyenweanyi gozie gi ri nne,positive
1 àwọn afíngbá à ń kí báyìí pé  ẹ kú ẹrọ ògún o tí afíngbá yóò sì dáhùn pé onírèsé áá gbè ọ o báwo a ṣe ń kí amọkòkò ibeere yoruba,neutral
user ewoo abu m ezigbo nwada vera ,positive
rt user user o se lanu pupo pe si aala larin science yoruba esin ibile bi ko a ma padanu ijinle imo,negative
wagirango imbeho ninzara impanga ntibijya bisigana,negative
መጠጥ ቤቱ የት ክልል ነው,neutral
ibintu byambere bitesha umutwe ni uruhinjaurukundo retake sasetu,negative
user gaskiya ai mana adalci du kan yamana yawa duk abinda mahmud yayi a film dinnan bana ganin laifin sa sbd kudi yana iya chanjawa kowa tunani amma user da kata shi sai kai mana biyu babu kuma kace wai dan shige ne gsky wannan abu yamin ciwo,negative
user wai jihar shugaban kasa kenanfa ammafa dikabundake faruwa yanaji yakasa yinkumaiallah yayemana musibannan,negative
