tweet	label	ID
Loku u navela Ku tissunga tissungue	negative	
Aha Auxeni ti nguavani	negative	
Hahahahaha ih tipo arrombaram o nhoster	negative	
Hiiiii ni livrarih	negative	
oh hosi yanga	negative	
Eeeeh a nsati lwei a banana maj	negative	
Mu nga ni landzi Na loya	negative	
A ta ti nhela	negative	
Wa ni Danissa	negative	
U gama u Kuma 2 valores	negative	
Ihhhhhhhhhhh A chirami ka lomuu	negative	
ento ungah ni trapalhari wena pah	negative	
Hahahah swa nsila s	negative	
Famba ni ma Range ya wena	negative	
A xilungu xakarata	negative	
Famba ti gumula hi parede	negative	
U bihile demais lokhu ulangunta hansi a xikwembo swo kubha I mazwidji	negative	
Yuh Mam A ni ku lavi mina	negative	
I tinholuene a xwi Dari	negative	
Wa hlanha lweyi	negative	
KI est a criar um Vuku Vuku grande sabe	negative	
Messi Wa Nhine	negative	
hosi yanga	negative	
Uta ni dhlaya	negative	
Xitomb xa wuako	negative	
Ih ni livrari yu	negative	
Ho hi danissa wena wananga	negative	
Wuaa swa ma SUPERA PATRICK ani tendere	negative	
Hi tafa hi ndlala	negative	
Namuntlha nada baiye a xirhame ci demanji	negative	
Suka xtapora Niti dlela male ya Mina  Toh ta falar Noh ti dlela male yah Mina	negative	
Hambi uku nh  um dia uta sunguna ku phuza na mesma	negative	
Swi mbeni Mas vale u mielaaaaaaaa	negative	
Famba uya ti fassa	negative	
Pimissa nhana u tsika madururo	negative	
Barcelona  Loko ni file mungane rilane	negative	
Swa yentxeka no t nada nice	negative	
Hahahahaha hadjakufa lweyi  provocar overdose isso	negative	
Swimbenhane wa dja ku ni hembissa ja	negative	
Aha swa mbangue Tsala swi mbeni Hloko ya pao	negative	
Nawene tem que o tsika madururo u pimissa nhana	negative	
Ova na vuntswaka lowa nhloko	negative	
Yuh V djula ku ih hlongola ka tiku ledzi Ih dhlawileh	negative	
U ku um dois u mu ba ka xifuva a fa Inah Swa djuleka	negative	
Hosi yanga	negative	
Wali wa Dula	negative	
Unga hi nhenhentsi wena	negative	
A nguenile matilwene	negative	
Ikhali mina ni zunga waku djokuni tolovela  sg	negative	
Vha ta dlaya	negative	
Swa kharata mpela Khambi Funtsi a ih swi tsiki	negative	
U la kuta ka mina Ungati na usiku U zama zama kuni phazamisa  U la ku nivuyisela a gono ni meticali	negative	
A xizame da kwapa mesmo	negative	
Mas Khasi a u teke nsati hi maka muni	negative	
Famba ti kundza invejosa	negative	
Ceh Ina ka I para hi ku yini	negative	
Ka hissa kola missavene	negative	
Hi maka Ruy	negative	
Swimbenhane vata hi rhivalela mas ava futseke	negative	
Uku ni dzo	negative	
Hi ku pfinha va hi sola	negative	
why uni lembrara lexwu  wena wa kazata	negative	
Va khu ndzaveta u va khuma la	negative	
Ani madururu npfana lweyi	negative	
A xwi chegui ka	negative	
Yu  tindzava  Tsika mbangui mpfana e nita ku desprogramara	negative	
Himpela wo nhimela nkama wa ko u fika yena a poronto ni mu fundile bem mas wa karhata nhana	negative	
famba u ya ti gunha hi parede	negative	
Swa mbangue ni ma cigarri	negative	
U tsama u ui vona a mbongolo yi nga xidjana  Ih leyi Lani	negative	
Tili luweme nase A Mulungu otisunga	negative	
Unga ni lhanhele mina	negative	
A xizame xo kwapa hi	negative	
Hi Ta Hambana Hi Ma Central	negative	
Afinal fere a vista  Ni dzivaleli a ni nga swi tivi	negative	
Uta kuma timaka hi maka ma brincadeira	negative	
Wena uni ntxumo uxi mahaka ni guele ingui u bom pra puto puto mas haaaaa	negative	
Wenna  hu ta ni txanissa ih voz man	negative	
Va mu tlelile pah  tlelaaa	negative	
Misava yi Bihile ihhhh	negative	
Tiva Hini hi khu fassa	negative	
Hi dlawile	negative	
Kasse mamana ya wena ii herioa	negative	
Himakha mune lesho Em Moz seria ku ba mpama mina durante	negative	
U La Ku Nitxintxa My Baby U La Ku Nitxintxa My Baby	negative	
Nitaku panhula hi xinwui xa tiro	negative	
Unga ni lheki	negative	
Mina ningue fambi hi lane	negative	
A xizami ehhh	negative	
Na Unitiva tem Opium	negative	
Wa nsila lweyii  Damnnnnnnn	negative	
Senhora atirha hospital privado lani a humaka kona vatwa hiyena vana vayena angava pfumeli vatlanga na vana vanwani	negative	
U ta swi vona	negative	
Pfutseka Para ti que ttaste	negative	
Heee  ha ni wa lewso mina	negative	
Wa Vizinhouuu Nikonbela Ko Loyiwaaaa	negative	
Nitaku panhula ih xinwe xa tiro	negative	
Nako male ya mu phuntissa	negative	
Depois saem hi matalane Vha buya vhata yih hlupa	negative	
Swi mbeni e m vagwi ya m like	negative	
Vamos demostrar solidariedade masculina A XI pfutseki	negative	
Manhokonhoko tsem   SWA ti mbangue ni ma cigarri leswoooo Lol Just jkn	negative	
Vataku yivissa mova mamanou owooooooh Wa tlanga wena Keep tlanguing uta dzila	negative	
Unga lhai lava v lhayaka swaku kuni ma gerador nem a v kutive Albasine cola ka maputsu ambi bobole loko kungana placa ava ku tive ja v tiva ma gerador ya tiko hewenou hambe male kona ma gerador a mana gasolina pru falta ya oramento	negative	
